amfi_code,cagr_3y,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,score,fund_score,final_rank
148567,0.3400091602163293,1.4482911703262524,0.2698375144191788,1.46,-0.1126572907502827,2.0,1.0,7.0,23.0,8.0,6.499999999999999,81.57335223245926,1
120505,0.317775371512347,1.1801011976606468,0.2926358334175095,1.36,-0.1818851357211629,5.0,5.0,3.0,15.0,25.0,8.1,77.03756201275691,2
120843,0.2958277033726251,1.3067439695428402,0.2733046503830598,1.45,-0.1297396816518679,7.0,2.0,5.0,22.0,13.0,8.200000000000001,76.7540751240255,3
100033,0.3244245942195611,1.093698743534632,0.271953545012853,1.38,-0.1621720857464484,4.0,7.0,6.0,17.0,20.0,8.7,75.33664068036853,4
120504,0.3248742855621496,1.0265242847992977,0.2119482701352563,0.8,-0.1258827560692251,3.0,10.0,13.0,12.0,12.0,9.0,74.48618001417435,5
119094,0.3511180209642852,0.99823098686364,0.2607666908004213,1.38,-0.2096088386203919,1.0,11.0,9.0,17.0,28.0,10.2,71.0843373493976,6
119551,0.3045652442030289,1.208266567372713,0.2320100716063496,1.54,-0.1501238549864533,6.0,4.0,10.0,30.5,17.0,11.075,68.60382707299789,7
148569,0.2917890157839378,1.2349300257743314,0.2827036785246577,1.6,-0.1639674294693263,8.0,3.0,4.0,36.5,21.0,11.525,67.3281360737066,8
101206,0.2896769452874166,1.0272133278753703,0.2139978477605115,1.6,-0.1129159632932307,9.0,9.0,12.0,36.5,9.0,13.725,61.09142452161588,9
119598,0.2666992200118774,0.945308257515609,0.3033696538698325,1.43,-0.2870600572176455,12.0,14.0,1.0,21.0,36.0,14.049999999999999,60.17009213323885,10
149323,0.268699908289022,1.1321218524747203,0.265985775420429,1.61,-0.1724810575345138,11.0,6.0,8.0,38.0,22.0,14.3,59.461374911410346,11
149324,0.2700042661451924,0.9497958246616012,0.3005787817097666,1.52,-0.3117190030063421,10.0,13.0,2.0,26.5,37.0,14.325,59.39050318922751,12
118632,0.2265235983009863,1.081659179345703,0.2182939790460857,1.51,-0.1741407508665723,14.0,8.0,11.0,24.5,23.0,14.375,59.248759744861815,13
119552,0.1626737229462491,0.9532794968660092,0.1986859936686288,0.66,-0.1180349350276429,23.0,12.0,15.0,4.0,11.0,14.599999999999998,58.61091424521617,14
125497,0.1843448861052017,0.7757902498211189,0.1772975492753168,0.92,-0.1520001305560639,19.0,18.0,16.0,14.0,18.0,17.299999999999997,50.956768249468475,15
118635,0.2000820838047148,0.6648569985490603,0.1513635464823918,0.89,-0.1165062450540909,17.0,19.0,23.0,13.0,10.0,17.4,50.67328136073708,16
118633,0.2108997654925684,0.6452074382933195,0.1564383594816961,0.72,-0.1862974313859551,15.0,21.0,22.0,5.5,26.0,17.575,50.17717930545713,17
102885,0.1966726206830185,0.8170993373494359,0.1704875680341263,1.57,-0.1085986215250232,18.0,16.0,19.0,34.0,7.0,18.999999999999996,46.13749114103475,18
120503,0.1397838193370304,0.7979728586052828,0.1770330236584399,1.42,-0.1389786282306163,25.0,17.0,17.0,20.0,14.0,19.549999999999997,44.57831325301206,19
148568,0.1474803553358601,0.9262873467360144,0.2087301008694227,1.52,-0.1527259422823477,24.0,15.0,14.0,26.5,19.0,19.625,44.36569808646351,20
120506,0.1842199653744454,0.6488787755249533,0.16253853279981,1.41,-0.1982565826298267,20.0,20.0,20.0,19.0,27.0,20.55,41.743444365698096,21
120507,0.0739428630036007,0.4957233929519075,0.0674621041109882,0.74,-0.0009773140045925,29.0,23.0,31.0,7.0,1.0,21.8,38.19985825655564,22
119093,0.2081677117553586,0.1296144979566887,0.0823280129522202,0.75,-0.2175139637014822,16.0,29.0,28.0,8.0,31.0,21.950000000000003,37.774627923458546,23
102887,0.2555618790412652,0.6195175900829826,0.1621125679403321,1.64,-0.2153982711238322,13.0,22.0,21.0,39.5,30.0,22.525000000000002,36.14457831325302,24
149322,0.1804420648663613,0.4640374492204746,0.1317319022609936,1.54,-0.1484457691777174,21.0,25.0,24.0,30.5,16.0,23.525000000000002,33.309709425939054,25
125498,0.1124522286662141,0.3006119210425446,0.1198910097121789,0.78,-0.2111727956013211,26.0,27.0,26.0,10.0,29.0,24.15,31.537916371367842,26
120844,0.0669597162458699,-0.0887472962169807,0.0645567749537528,0.6,-0.0011629327956168,30.0,34.0,32.0,3.0,2.0,24.549999999999997,30.403968816442255,27
120841,0.1726727508371786,0.4942725378672314,0.1304292445070536,1.59,-0.1757361416468729,22.0,24.0,25.0,35.0,24.0,25.25,28.41956059532248,28
118634,0.0800792772865608,0.4484340089089896,0.1750072167561119,1.53,-0.2334488614483311,27.0,26.0,18.0,28.5,32.0,25.674999999999997,27.214741318214053,29
118636,0.0406220502377714,-0.3566295075144005,0.0507477299997599,0.55,-0.083163617636387,33.0,38.0,35.0,1.0,6.0,27.15,23.033309709425957,30
119120,0.0584035879846309,-0.2265753866279455,0.0562089521663826,0.77,-0.0432872892397009,32.0,37.0,34.0,9.0,5.0,27.500000000000004,22.041105598866054,31
101208,0.063157844913755,-0.8155673679101645,0.0608614579578647,0.79,-0.0016224980244717,31.0,40.0,33.0,11.0,3.0,27.849999999999998,21.048901488306186,32
100025,0.0391638995710403,-0.5670947928477079,0.0428179203150603,0.56,-0.0430826382463634,34.0,39.0,38.0,2.0,4.0,28.25,19.914953933380595,33
