rank,amfi_code,sortino_ratio
1,148567,2.385644373368797
2,120843,2.3643200321667086
3,148569,2.146913926346051
4,119551,2.1402671290617774
5,120505,2.0293529404657376
6,149323,1.8751010639191963
7,118632,1.8501325468557175
8,100033,1.8291339615146913
9,120504,1.805293794099243
10,101206,1.7995628746984451
11,119094,1.703797480246293
12,119598,1.6753165700125467
13,148568,1.6327409778735091
14,149324,1.6197931764914029
15,119552,1.6097764896282993
16,102885,1.4357420130649396
17,120503,1.3379431500669134
18,125497,1.3306512447571264
19,118633,1.1544757169236164
20,118635,1.137976718780735
21,120506,1.0958951614736425
22,102887,1.0887552508029974
23,120507,1.052123882257981
24,120841,0.8625738849916469
25,149322,0.7621288703723081
26,118634,0.7460146308533516
27,125498,0.5088128197169167
28,101207,0.2766437962609222
29,119093,0.22108683979275504
30,120842,0.12469346986474816
31,119092,0.05257398559304429
32,119599,-0.09438726129459904
33,119095,-0.12818559275851907
34,120844,-0.18772304774540446
35,102886,-0.3472223025472744
36,100016,-0.35104746015230853
37,119120,-0.3767670081707113
38,118636,-0.6135251287271506
39,100025,-0.9418212366054453
40,101208,-1.6810378667540942
